Event Time,Event Type,Smart ID,Exact ID,Agent Type,Account Email,Input IP,True IP,Unknown Session,Reasons,Input IP Organization Type,Input IP Organization,Request Result,Policy Score,Review Status,Account Email Domain,Online Top Level Domain,LexID Digital,LexID Digital Trust Score Rating,True IP Geo,Session ID,Account First Name,Account Last Name,Agent Model,Associated Event.DateTime,Associated Event.Request Id,Agent OS
2021-09-01 17:25:37.662 UTC,account_creation,f06abe5ac0cc4078bb7ea2fc2b3b8861,f06abe5ac0cc4078bb7ea2fc2b3b8861,browser_mobile,81d90e5bd28f809fc279f9ffa7978640,,75.155.128.173,,"{""IF not True IP""}",,,success,0,pass,gmail.com,,10b99da916014f51b633c5e6ae97f851,very_high,CA,q3gid3fz5ym1uu3akwwczyta_1,236a0891a9006006ff1042f9798ac77b,005dcc16f0b46a468ff53e761679d876,,,,
2021-09-01 08:29:21.468 UTC,account_creation,58752a45af264725a0fafb8c25620ce9,58752a45af264725a0fafb8c25620ce9,browser_mobile,7765451377252cedbdafe7340c0a9531,,24.69.213.131,,"{""New Device less than 1 Month (-2)"",""New Email less than 1 Month (-2)"",""IF not True IP""}",,,success,-4,pass,gmail.com,,f1c99ed82eca40778cba6c798f2530ae,low,CA,tzp4jjprzqzpk540aqh302lq_1,6c96bcdb9f9ce8772d7c2e70e31a27f4,9f06177a6660740ec928bec4962cc36f,,,,
2021-09-01 05:49:01.244 UTC,account_creation,58752a45af264725a0fafb8c25620ce9,58752a45af264725a0fafb8c25620ce9,browser_mobile,8e603a2ea3f60d865615bb6efe6b1082,,24.69.213.131,,"{""New Device less than 1 Month (-2)"",""New Email less than 1 Month (-2)"",""IF not True IP""}",,,success,-4,pass,shaw.ca,,f1c99ed82eca40778cba6c798f2530ae,neutral,CA,fvjl5wrgbdhsw4ntifs4evx1_1,cbbf3231b1808a583e2a6b23767af5c9,3f5e31252a22eea5e9daedcc7be90ca8,,,,
2021-09-01 05:29:15.300 UTC,account_creation,2c905a321b44498ca3382638e7b3deda,2c905a321b44498ca3382638e7b3deda,browser_computer,f4b05f78345c836479bafad80117e2ae,,66.183.53.31,,"{""IF not True IP""}",,,success,0,pass,yahoo.com,,b30bbda4907f4f17be1504d48d4d15ca,very_high,CA,2gxcsocwacmv1daexmibf4p1_1,e421b004aab35e9054e7717e0988b346,0c24d2a07d74ded1fd8b05b8de69b096,,,,
2021-09-01 03:43:03.117 UTC,account_creation,7755236d86584485a061b290c501d630,7755236d86584485a061b290c501d630,browser_computer,acd429dda902b009f5a56424c5a52924,,50.67.174.24,,"{""2 or more account_login per Email/ month"",""New Device less than 1 Month (-2)"",""System State Anomaly (-5)"",""IF not True IP""}",,,success,-12,pass,gmail.com,,d7df7794e0ed425386582012cd7c8286,very_high,CA,1kd2ml5yo05jnsmnjjh1b3vz_1,8647f63b1a517a353983e9762f230a39,b95c18420d3e4620a4df1d80f5960147,,,,
2021-09-01 03:38:04.735 UTC,account_creation,7755236d86584485a061b290c501d630,7755236d86584485a061b290c501d630,browser_computer,acd429dda902b009f5a56424c5a52924,,50.67.174.24,,"{""New Device less than 1 Month (-2)"",""IF not True IP""}",,,success,-2,pass,gmail.com,,d7df7794e0ed425386582012cd7c8286,very_high,CA,o0xqn1ecxykz0ka4qdne2y04_1,1e08b104ba3bc7bd744c6434956d528c,b95c18420d3e4620a4df1d80f5960147,,,,
2021-09-01 03:18:13.380 UTC,account_creation,e49d672287724a7cae73326dfb2b32dd,e49d672287724a7cae73326dfb2b32dd,browser_mobile,b5c842f8d9f7990e70b9b2409891971f,,24.108.151.13,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,351af6172c8344f58d1548f0b653e79c,low,CA,o1fhbibflqeqnprzwvdcypjx_1,b04564e57c5aafd2e1023510cc53de27,5e2a81ff256c46849b455d677e85b119,,,,
2021-09-01 02:16:31.869 UTC,account_creation,904b397a61a349b5901aaa3ef0850f5e,904b397a61a349b5901aaa3ef0850f5e,browser_computer,c7dc8da3aaebd0e19b85c8a688c12cca,,64.139.108.196,,"{""True IP Outside CA"",""TransparentProxy"",""DNS Resolver over 500 miles from True IP (-10)"",""ExactID DNS IP travled 500 mi/hr"",""SmartID DNS IP travled 500 mi/hr"",""Device Traveled 500 mi/hr (-5)"",""Email DNS IP travled 500 mi/hr"",""Email Traveled 500 mi/hr (-5)"",""IF not True IP""}",,,success,-25,review,hush.com,,2874c266197541b385e4c64651695b3c,very_high,US,pxqxmpuq3fwj4aoy0s11kehr_1,a666ec90a00ebf7a1ac2fa942148427b,73bb250f760c9515aa6708f249b05581,,,,
2021-09-01 01:32:16.059 UTC,account_creation,,,,aa4bd9336c66bfb204e3964deaa61a5e,,,true,"{""Profiling Blocked (-10)"",""Profiling Incomplete"",""IF not True IP""}",,,success,-10,pass,gmail.com,,7f0c38932a614862929c4b18869aed4e,very_high,,exxrqrcu11ocpvurdottwzvz_1,0f34a95d9fc93e5d53fbcc1c6f1a790e,b47bc85dac6add1887b02cd1a17fe59d,,,,
2021-09-01 00:19:07.248 UTC,account_creation,228864315917436faf63fc83f5881ed5,138af58b9551470b92d3f9d2281e5b15,browser_mobile,5be71a370d476476968f3d1cac8fb934,,154.5.107.54,,"{""New Device less than 1 Month (-2)"",""IF not True IP""}",,,success,-2,pass,icloud.com,,2130f110d3bd4decb6e921465cc3ed90,very_low,CA,fbr5nz3sx5ho3ygfllpmdmk5_1,988b21554837d8f4f1aa18c312f2239e,91279cf96dc9aca0cb38689d1cb25693,,,,
